id;campo;valore;nota
9cdd9cad0a#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
c8819359e4#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
30a970091a#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
a54d22bf88#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
c66e3f4a61#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
16cac6dc65#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
527c1b7762#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
c96cbbcd98#1;Importo;439.29;bonifico in ENTRATA da Bogoni registrato in uscita nello storico MoneyWiz: stessa descrizione, stesso importo e stesso mittente delle righe positive prima e dopo, negativo solo fra dic 2023 e giu 2024
e36e4f4e4c#1;Merchant;Banda acciaio camino;
man-20260919-02;Descrizione;Vacanza Sardegna;
man-20260919-02;Importo;-2997.56;
