categoria;sottocategoria;natura
Casa;Ipoteca/Affitto;Vincolate
Casa;Assicurazione;Vincolate
Casa;Condominio;Ricorrenti
Casa;Luce e gas;Ricorrenti
Casa;Acqua;Ricorrenti
Casa;Telefono e internet;Ricorrenti
Casa;Arredamento;Discrezionali
Casa;Fai da te;Discrezionali
Casa;Giardino;Discrezionali
Casa;Sicurezza;Ricorrenti
Casa;Manutenzione;Straordinarie
Casa;Ristrutturazione;Straordinarie
Auto;Bollo;Vincolate
Auto;Assicurazione;Vincolate
Auto;Manutenzione;Straordinarie
Trasporto;Carburante;Quotidiane
Trasporto;Pedaggi;Ricorrenti
Trasporto;Parcheggio;Quotidiane
Trasporto;Mezzi pubblici;Quotidiane
Cibo & Mangiare;Alimentari;Quotidiane
Cibo & Mangiare;Pranzo Lavoro;Quotidiane
Cibo & Mangiare;Ristoranti;Discrezionali
Cibo & Mangiare;Cantina e Specialità;Discrezionali
Shopping;Online;Discrezionali
Shopping;Vestiti;Discrezionali
Shopping;Tecnologia;Discrezionali
Shopping;Regali;Discrezionali
Personale;Abbonamenti;Ricorrenti
Personale;Streaming;Ricorrenti
Personale;Cloud e software;Ricorrenti
Personale;Abbonamenti AI;Ricorrenti
Personale;Benessere;Discrezionali
Personale;Intrattenimento;Discrezionali
Assistenza Sanitaria;Farmacia;Quotidiane
Assistenza Sanitaria;Medico;Straordinarie
Viaggi;Vacanze;Discrezionali
Stipendio;;Entrate
Affitti incassati;;Entrate
Giroconto;;Non spesa
Da identificare;;Da chiarire
Fisco;Tasse;Vincolate
