id;data;importo;categoria;sottocategoria;nota
;2025-03-19;-1000.00;;;bonifico istantaneo senza causale - da identificare
;2025-08-14;-300.00;;;bonifico istantaneo senza causale - da identificare
;2025-09-04;-2500.00;;;bonifico istantaneo senza causale - da identificare
;2025-12-08;-300.00;;;bonifico istantaneo senza causale - da identificare
;2025-12-30;-3829.00;;;bonifico istantaneo senza causale - da identificare
bed4fd7fb3#1;;;Cibo & Mangiare;Ristoranti;
9b3282dfcb#1;;;Casa;Manutenzione;
2f04e99494#1;;;Shopping;Amazon;
92b39fa486#1;;;Shopping;Amazon;
a07622d9ec#1;;;Shopping;Amazon;
829b63b91c#1;;;Personale;Abbonamenti;
ca57c86a6f#1;;;Cibo & Mangiare;Alimentari;
b2d493596c#1;;;Cibo & Mangiare;Ristoranti;
c6ea78ef70#1;;;Cibo & Mangiare;Alimentari;
dbb1a6fe31#1;;;Casa;Arredamento;
1b6e7d7a44#1;;;Personale;Abbonamenti;
f6b55bfa51#1;;;Assistenza Sanitaria;Farmacia;
7e527773c6#1;;;Cibo & Mangiare;Ristoranti;
8973591c50#1;;;Casa;Arredamento;
8bd934a686#1;;;Casa;Arredamento;
0ba345e977#1;;;Casa;Arredamento;
08ab89266c#1;;;Personale;Benessere;
6157b660ff#1;;;Casa;Arredamento;
4ef4f6a422#1;;;Casa;Arredamento;
413be8cabc#1;;;Shopping;Amazon;
a9b2f0db51#1;;;Cibo & Mangiare;Cantina e Specialita;
;2026-03-31;-1500.00;Casa;Ristrutturazione;Camino Vulcano: stufa o camino, intervento sulla casa
;2026-02-23;-267.37;Casa;Arredamento;madia
;2026-04-30;-230.00;Casa;Manutenzione;disotturazione terrazza
;2026-07-08;-150.00;Casa;Arredamento;scaletta da balcone
;2026-07-08;-25.00;Casa;Arredamento;poltrona da balcone
;2026-04-30;-100.00;Cibo & Mangiare;Cantina e Specialita;vino
;2026-05-09;-70.00;Personale;Benessere;Body shape: sembra una palestra, correggi se e' altro
;2025-12-26;-34.00;Personale;Intrattenimento;mostra
;2026-06-28;-28.00;Casa;Fai da te;pannello per la tettoia
;2026-04-30;-26.15;Cibo & Mangiare;Alimentari;ipermercato
;2026-02-21;-74.00;Personale;Benessere;profumi
;2025-01-27;-16.60;Casa;Arredamento;decorazioni di Halloween, non regali
;2026-05-07;-6.60;Trasporto;Mezzi pubblici;Rho Fiera M1 e' il capolinea della metro 1 di Milano
;2026-02-01;-93.50;Casa;Arredamento;Bissolo Casa: come l'altra riga Bissolo gia' categorizzata
;2025-09-08;-1000.00;Da identificare;;prelievo di contante: dove sia finito non lo dice nessuno, ma non e' abbigliamento
;2025-09-09;-1000.00;Da identificare;;prelievo di contante
;2022-09-11;-224.00;Personale;Intrattenimento;concerto di Baglioni al Filarmonico, non una cena
;2026-06-21;-150.00;Casa;Fai da te;top del lavabo
;2026-06-21;-67.89;Casa;Fai da te;sifone del bagno
;2024-04-14;-129.90;Casa;Arredamento;tappeto e accappatoio
;2026-01-24;-121.58;Cibo & Mangiare;Cantina e Specialita;Vivino vende vino
;2022-04-10;-66.16;Cibo & Mangiare;Alimentari;Familia e' un supermercato
;2024-11-01;-39.90;Casa;Arredamento;tovaglie
;2026-08-06;-75.00;Assistenza Sanitaria;Medico;il Dott. Perandini e' un medico, non un pranzo di lavoro
;2022-03-06;-30.00;Casa;Arredamento;bicchieri, non una cena
;2022-05-02;-25.00;Cibo & Mangiare;Ristoranti;Poke House e' un ristorante: a ingannare era 'fashion district'
;2025-02-10;-15.80;Casa;Arredamento;decorazioni di Natale
;2024-08-18;-16.20;Casa;Arredamento;negozio fisico a Bussolengo, non un acquisto online
