id;pagato_da;quota;nota
47d9801ffb#1;io;meta;travaso a mano da Koala (Bissolo): l'export Hype originale e' andato perso, drop_covered_by non ha potuto farlo da solo
ba0a5b7352#1;io;meta;travaso a mano da Koala (Rossetto): l'export Hype originale e' andato perso, drop_covered_by non ha potuto farlo da solo
df70497baa#1;io;meta;travaso a mano da Koala (Cena Bagolo): l'export Hype originale e' andato perso, drop_covered_by non ha potuto farlo da solo
6f275f09a4#1;io;meta;travaso a mano da Koala (Beghini): l'export Hype originale e' andato perso, drop_covered_by non ha potuto farlo da solo
a94449ba7d#1;io;meta;travaso a mano da Koala (El bagolo): l'export Hype originale e' andato perso, drop_covered_by non ha potuto farlo da solo
7e527773c6#1;io;meta;travaso a mano da Koala (Sagra Lugagnano): l'export Hype originale e' andato perso, drop_covered_by non ha potuto farlo da solo
fa5a5f0a61#1;io;saldo;bonifico a Michela, saldo condiviso confermato da Fabio
d2b958975c#1;io;saldo;bonifico a Michela, saldo condiviso confermato da Fabio
fedcd884ef#1;io;tutto;
man-20260919-02;io;meta;
