pattern;categoria;sottocategoria
(?i)Zoom.*Progress;Viaggi;Vacanze
(?i)Dalla Bernardina;Trasporto;Carburante
# I giroconti verso conti propri o familiari non sono spese: vanno per primi.;;
(?i)\ba:? *(hype|fideuram|fabio stocco|michela bogoni|mikela bogoni)\b;Giroconto;
(?i)a favore di (hype|fideuram|fabio stocco|michela bogoni);Giroconto;
(?i)(stocco fabio|fabio stocco|bogoni|michela|mikela) +da +\w;Giroconto;
(?i)giroconto|travaso|trasferimento fondi;Giroconto;
(?i)^transazione senza nome$;Giroconto;
(?i)^yyw[0-9]+/paypal;Giroconto;
# Marketplace: la banca scrive solo AMZN Mktp IT, cosa sia non si sa.;;
(?i)amazon|amzn;Shopping;Amazon
(?i)vallese di oppeano;Shopping;Vestiti
(?i)gruppo negozi;Shopping;Vestiti
(?i)peschiera del garda;Cibo & Mangiare;Ristoranti
(?i)castagna f;Shopping;Tecnologia
(?i)veronafiere|fiera di verona;Personale;Intrattenimento
(?i)tabacchi|tabaccheria|troiani david|\bheets\b|\biqos\b;Cibo & Mangiare;Alimentari
(?i)^amo$;Cibo & Mangiare;Ristoranti
(?i)^civico 2;Cibo & Mangiare;Ristoranti
(?i)alcide poggibonsi;Cibo & Mangiare;Ristoranti
(?i)corte scaligera;Cibo & Mangiare;Ristoranti
(?i)bella vista peschiera;Cibo & Mangiare;Ristoranti
(?i)vive srl;Cibo & Mangiare;Ristoranti
(?i)berfis;Personale;Intrattenimento
(?i)geometra|savoia valentino;Casa;Manutenzione
(?i)sac verona;Trasporto;Carburante
(?i)aon advisory;Assistenza Sanitaria;Medico
(?i)blood store;Shopping;Vestiti
(?i)santeria;Cibo & Mangiare;Ristoranti
(?i)puff store;Shopping;Regali
(?i)adler evento|adler country;Viaggi;Vacanze
# Utenze divise per tipo: sono tre contratti con tre leve diverse.;;
(?i)bolletta acqua|acque veronesi|acquedotto|abbanoa;Casa;Acqua
(?i)agsm|enel|servizio elettrico|\ba2a\b|\bhera\b|\biren\b|\bacea\b|eni ?gas|edison|sorgenia|illumia|bolletta luce|\bluce\b|\bgas\b|riscaldamento;Casa;Luce e gas
(?i)\btim\b|telecom italia|vodafone|windtre|wind tre|iliad|fastweb|ho\.?mobile|very mobile|poste ?mobile;Casa;Telefono e internet
(?i)marca da bollo|imposta di bollo|bollettino.*passaporto|passaporto elettronico;Comunità;Tasse
(?i)f24|agenzia entrate|\bimu\b|irpef|tributi|contributi inps;Comunità;Tasse
(?i)\btari\b|tarsu|rifiuti|nettezza urbana|canone rai|f24|agenzia entrate;Comunità;Tasse
# Il condominio prima della manutenzione: gli interventi sulle parti;;
# comuni arrivano come spese condominiali, non come lavori tuoi.;;
(?i)condomin|borgo mangano|camminamento;Casa;Condominio
# Giardino e piscina prima del fai da te: uno svettatoio comprato da OBI;;
# e' giardino, non ferramenta.;;
(?i)floricoltura|quaiato|vivaio|garden ?center|terriccio|\bpiante\b|\bsiepe\b|fioriere?|\bflover\b|area verde|piscin|\bcloro\b|svettatoio|\bprato\b;Casa;Giardino
"# Casa: chi fa il lavoro. Arredamento = cose che compri e metti dentro;";;
"# fai da te = materiale che monti tu; manutenzione = chiami qualcuno.";;
(?i)\bikea\b|mondo convenienza|maisons? du monde|arredissima|semeraro|happy casa|tutto ?stock|kasanova|casalinghi|maison mond;Casa;Arredamento
(?i)leroy ?merlin|\bbrico|\bobi\b|bricoman|ferramenta|tecnomat|stock ?& ?store|stockstore|idea ferro|dalla piazza|impregnante;Casa;Fai da te
(?i)idraulic|elettricist|imbianchin|fabbro|caldaia|manutenzione impianto|disotturazione|spurgo;Casa;Manutenzione
(?i)\ballarme\b|vigilanza|antifurto|verisure|sicuritalia;Casa;Sicurezza
(?i)\bmutuo\b|rata mutuo|canone locazione|locazione;Casa;Ipoteca/Affitto
(?i)assicurazione casa|polizza (casa|abitazione);Casa;Assicurazione
# Auto: i costi del possederla, separati dal muoversi.;;
(?i)bollo auto|tassa automobilistica;Auto;Bollo
(?i)assicurazione auto|polizza auto|rc ?auto|genertel|\blinear\b|prima\.it|quixa;Auto;Assicurazione
(?i)tagliando|officina|gommista|carrozzeria|revisione auto|norauto|midas;Auto;Manutenzione
# Muoversi.;;
(?i)\bq8\b|\beni\d*\b|\bip\b ?stazione|tamoil|\besso\b|\bshell\b|\bagip\b|api ?station|distributore|carburant|benzina|rifornimento|noaloil|\bpetroli\b|\bpetrolio\b;Trasporto;Carburante
(?i)telepass|pedaggi|autostrad;Trasporto;Pedaggi
(?i)parcheggio|parking|park ?spa|\bsosta\b|easypark;Trasporto;Parcheggio
(?i)trenitalia|\bitalo\b|atm milano|\batac\b|\bgtt\b|amtab|autobus|metropolitana|abbonamento trasporto|\btreno\b;Trasporto;Mezzi pubblici
# Mangiare.;;
(?i)esselunga|coop\b|conad|carrefour|lidl|eurospin|penny ?market|md discount|\bpam\b|bennet|\biper\b|rossetto|tigota|despar|crai\b|famila|in's mercato|galassia|ipermercato|spaccio;Cibo & Mangiare;Alimentari
